control_group	treatment_group	output_name
control_NR	coconut_NR	coconut_NR_vs_control_NR
control_NR	coconut_early	coconut_early_vs_control_NR
control_NR	coconut_late	coconut_late_vs_control_NR
control_NR	fish_NR	fish_NR_vs_control_NR
control_NR	fish_early	fish_early_vs_control_NR
control_NR	fish_late	fish_late_vs_control_NR
control_NR	keto_NR	keto_NR_vs_control_NR
control_NR	keto_early	keto_early_vs_control_NR
control_NR	keto_late	keto_late_vs_control_NR
control_NR	lard_NR	lard_NR_vs_control_NR
control_NR	lard_early	lard_early_vs_control_NR
control_NR	lard_late	lard_late_vs_control_NR
control_NR	milk_NR	milk_NR_vs_control_NR
control_NR	milk_early	milk_early_vs_control_NR
control_NR	milk_late	milk_late_vs_control_NR
control_NR	olive_NR	olive_NR_vs_control_NR
control_NR	olive_early	olive_early_vs_control_NR
control_NR	olive_late	olive_late_vs_control_NR
control_NR	palm_NR	palm_NR_vs_control_NR
control_NR	palm_early	palm_early_vs_control_NR
control_NR	palm_late	palm_late_vs_control_NR
coconut_NR	coconut_early	coconut_early_vs_coconut_NR
coconut_NR	coconut_late	coconut_late_vs_coconut_NR
coconut_early	coconut_late	coconut_late_vs_coconut_early
fish_NR	fish_early	fish_early_vs_fish_NR
fish_NR	fish_late	fish_late_vs_fish_NR
fish_early	fish_late	fish_late_vs_fish_early
keto_NR	keto_early	keto_early_vs_keto_NR
keto_NR	keto_late	keto_late_vs_keto_NR
keto_early	keto_late	keto_late_vs_keto_early
lard_NR	lard_early	lard_early_vs_lard_NR
lard_NR	lard_late	lard_late_vs_lard_NR
lard_early	lard_late	lard_late_vs_lard_early
milk_NR	milk_early	milk_early_vs_milk_NR
milk_NR	milk_late	milk_late_vs_milk_NR
milk_early	milk_late	milk_late_vs_milk_early
olive_NR	olive_early	olive_early_vs_olive_NR
olive_NR	olive_late	olive_late_vs_olive_NR
olive_early	olive_late	olive_late_vs_olive_early
palm_NR	palm_early	palm_early_vs_palm_NR
palm_NR	palm_late	palm_late_vs_palm_NR
palm_early	palm_late	palm_late_vs_palm_early
