unique_sample_ids	analysis_sample_names	mouse_id	dob	cage	unique_id_extended	box	box_location	description	mouse_strain	path_rrbs	directory_rrbs	raw_sample_names_rrbs	Experiment Name	alignment_bams_rrbs	raw_sample_names_rnaseq	raw_sample_names_rnaseq_new	Sex	Total_duration_on_diet_months	starting_control_diet_acclimation	staring_experimental_diets	original_Diet	duration_of_reversion_months	duration_of_reversion_group	current_Diet	reversal_status	reversion_date	reversal_diet	tissue	sample_notes	takedown_condition	takedown_date
coco_1_1	coco_1_1	1	3_16_2019	coco-1	coco_1_1_7_22_20	TD17	Hillside-2-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_56	Coco_1-1-F_SF_Ileum_7_22_20_S83_L003	Coco 1-1-F SF Ileum 7/22/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_1_1.bam	Coco_1-1-F_6_S87	Coco_1-1-F_6_S87	F	13	5_28_2019	6_18_2019	coconut	9	late	control	YES	10/4/19	coconut_to_control	Ilium SF	cryobanking	coconut_rev	7_22_20
coco_1_3	coco_1_3	3	3_16_2019	coco-1	coco_1_3_7_22_20	TD17	Hillside-2-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_57	Coco_1-3-F_SF_Ileum_7_22_20_S84_L003	Coco 1-3-F SF Ileum 7/22/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_1_3.bam	Coco_1-3-F_7_S89	Coco_1-3-F_7_S89	F	13	5_28_2019	6_18_2019	coconut	4	early	control	YES	4/2/20	coconut_to_control	Ilium SF	cryobanking	coconut_rev	7_22_20
coco_1_5	coco_1_5	5	3_16_2019	coco-1	coco_1_5_8_5_20	TD23	Hillside-2-A-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_77	Coco_1-5-F_SF_Ileum_8_5_20_S103_L003	Coco 1-5-F SF Ileum 8/5/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_1_5.bam	Coco_1-5-F_11_S90	Coco_1-5-F_11_S90	F	13	5_28_2019	6_18_2019	coconut	4	early	control	YES	4/2/20	coconut_to_control	Ilium SF	cryobanking	coconut_rev	8_5_20
coco_2_7	coco_2_7	7	3_16_2019	coco-2	coco_2_7_8_5_20	TD23	Hillside-2-A-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS_2	EC-CM-6649_76	Coco_2-7-F_SF_Ileum_8_5_20_S3_L003	Coco 2-7-F SF Ileum 8/5/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_2_7.bam	Coco_2-7-F_10_S88	Coco_2-7-F_10_S88	F	13	5_28_2019	6_18_2019	coconut	9	late	control	YES	10/4/19	coconut_to_control	Ilium SF	cryobanking	coconut_rev	8_5_20
coco_3_1	coco_3_1	1	3_16_2019	coco-3	coco_3_1_7_23_20	TD18	Hillside-2-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_61	Coco_3-1-M_SF_Ileum_7_23_20_S88_L003	Coco 3-1-M SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_3_1.bam	Coco_3-1-M_11_S43	Coco_3-1-M_11_S43	M	13	5_28_2019	6_18_2019	coconut	0	NR	coconut	NO	NA	NO	Ilium SF	sequencing	coconut	7_23_20
coco_3_2	coco_3_2	2	3_16_2019	coco-3	coco_3_2_8_11_20	TD30	Hillside-2-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_102	Coco_3-2-M_SF_Ileum_8_11_20_S126_L003	Coco 3-2-M SF Ileum 8/11/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_3_2.bam	Coco_3-2-M_8_11_20_4_S38	Coco_3-2-M_8_11_20_4_S38	M	13	5_28_2019	6_18_2019	coconut	0	NR	coconut	NO	NA	NO	Ilium SF	cryobanking	coconut	8_11_20
coco_3_3	coco_3_3	3	3_16_2019	coco-3	coco_3_3_8_4_20	TD20	Hillside-2-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_68	Coco_3-3-M_SF_Ileum_8_4_20_S95_L003	Coco 3-3-M SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_3_3.bam	Coco_3-3-M_2_S42	Coco_3-3-M_2_S42	M	13	5_28_2019	6_18_2019	coconut	0	NR	coconut	NO	NA	NO	Ilium SF	sequencing	coconut	8_4_20
coco_3_4	coco_3_4	4	3_16_2019	coco-3	coco_3_4_8_11_20	TD30	Hillside-2-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_93	Coco_3-4-M_SF_Ileum_8_11_20_S119_L003	Coco 3-4-M SF Ileum 8/11/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_3_4.bam	Coco_3-4-M_11_S92	Coco_3-4-M_11_S92	M	13	5_28_2019	6_18_2019	coconut	4	early	control	YES	4/2/20	coconut_to_control	Ilium SF	cryobanking	coconut_rev	8_11_20
coco_3_5	coco_3_5	5	3_16_2019	Coco-3	Coco_3_5_6_29_20	UD5	Hillside-1-B-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_106	Coco_3-5-M_SF_Ileum_6_29_20_S54_L002	Coco 3-5-M SF Ileum 6/29/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_3_5.bam	Coco_3-5-M_3_S94	Coco_3-5-M_3_S94	M	12	5_28_2019	6_18_2019	coconut	3	early	control	YES	4/2/20	coconut_to_control	Ilium SF	Taken down due to poor body comp.	coconut_rev	6_29_20
coco_4_10	coco_4_10	10	3_16_2019	coco-4	coco_4_10_8_6_20	TD24	Hillside-2-A-08	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_79	Coco_4-10-M_SF_Ileum_8_6_20_S105_L003	Coco 4-10-M SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_4_10.bam	Coco_4-10-M_13_S91	Coco_4-10-M_13_S91	M	13	5_28_2019	6_18_2019	coconut	4	early	control	YES	4/2/20	coconut_to_control	Ilium SF	cryobanking	coconut_rev	8_6_20
